row_id,Category Code,SPECS
1,[341321000000],"{'[Type]': '[Architectural]', '[Series]': '[CB2-LED]', '[Voltage Rating]': '[120 to 277 | V]', '[Lighting Technology]': '[LED]', '[Lamp Type]': '[LED]', '[Lamp Wattage]': '[328 | W]', '[Average Life]': '[70000 | hrs]', '[Color Temperature]': '[4000 | K]', '[Color Rendering Index (CRI)]': '[85]', '[Ballast Type]': '[0 to 10 V 5% Dimming]', '[Lens Type]': '[Frosted Acrylic]', '[Lumens]': '[45000 | Lumens]', '[Mounting Type]': '[Suspended]', '[Housing Material]': '[Steel]', '[Housing Finish]': '[Post Painted White]', '[Dimensions]': '[5.5 in H x 45-13/16 in W x 3-5/16 in D]'}"
2,[341319000000],"{'[Series]': '[OMSD1]', '[Voltage Rating]': '[120 | V]', '[Fixture Wattage]': '[29 | W]', '[Lighting Technology]': '[seleCCTable®]', '[Lamp Type]': '[LED]', '[Light Output]': '[95 | Lumens/W]', '[Average Life]': '[50000 | hrs]', '[Color Temperature]': '[2700, 3000, 3500, 4000, 5000 | K]', '[Color Rendering Index (CRI)]': '[90]', '[Ballast Type]': '[Triac Dimming]', '[Lens Type]': '[PMMA Lens]', '[Lumens]': '[2000 | Lumens]', '[Mounting Type]': '[Surface/Flush]', '[Housing Material]': '[Steel]', '[Housing Finish]': '[Satin Nickel]', '[Dimensions]': '[3 in H x 18 in Dia]'}"
3,[341835000000],"{'[Type]': '[Medium No Cut-Off]', '[Series]': '[OWP-NC-201-LED]', '[Voltage Rating]': '[120 to 277 | VAC]', '[Fixture Wattage]': '[56 | W]', '[Lamp Type]': '[LED]', '[Average Life]': '[50000 | hrs]', '[Color Temperature]': '[5000 | K]', '[Color Rendering Index (CRI)]': '[80]', '[Lens Type]': '[Optical]', '[Lumens]': '[6000 | Lumens]', '[Mounting Type]': '[Wall]', '[Housing Finish]': '[Bronze]', '[Dimensions]': '[9-1/2 in H x 14-1/2 in W x 7-3/4 in D]'}"
4,[2822220000],"{'[Type]': '[3 Button]', '[Series]': '[WWBL3]', '[Switch Type]': '[2-Button with Raise/Lower]', '[Operation Mode]': '[Raise/Lower]', '[Sensing Range]': '[100 | ft]', '[Frequency Rating]': '[2.4 | GHz]', '[Mounting Type]': '[Standard]', '[Temperature Rating]': '[32 to 113 | deg F]', '[Color]': '[White]', '[Dimensions]': '[4.2 in H x 1.8 in W x 1.5 in D]'}"
